Year,1,2,3,4,5,6,7+
1980,0.30885932331953,0.311857957526515,0.498772823095292,0.626714549260016,0.786641706965922,1.13848145391891,1.4134167777387
1981,0.223522003500918,0.279636314003241,0.348843963622772,0.433950667884627,0.665889817960894,0.813657502283677,1.00039594808807
1982,0.225590285985855,0.24953047960068,0.325034167155129,0.396854747999606,0.589297073595702,0.732017458607161,1.13380655911533
1983,0.239489299162829,0.266499370496982,0.31421716318732,0.378140998678151,0.487981955437042,0.740075954555809,1.1117211791389
1984,0.201118827412141,0.254635425264299,0.290025433521371,0.346994715105926,0.438490834014454,0.594724772905431,0.812147280107561
1985,0.234675332047641,0.256849379170253,0.278099507662756,0.394513255056468,0.463807152314629,0.526633619162029,0.797746589081001
1986,0.226012732645898,0.30601723977719,0.331018648255718,0.406022873691304,0.546030761171064,0.486027380822595,0.806088590373554
1987,0.244895783780077,0.275141876597537,0.351244948847919,0.465399557223493,0.562967598570137,0.763957763744224,0.946679663392872
1988,0.269326483741395,0.247190060420185,0.296074661921192,0.398455619781791,0.51651654416158,0.60598458841814,0.892387513730476
1989,0.187201568600261,0.249602091467014,0.298963699107879,0.34459990239849,0.440529064417529,0.603515504741139,1.00812421067586
1990,0.196879245789222,0.250751676229059,0.319316587697942,0.37025052193197,0.473097889135294,0.597494228514554,1.02963058456303
1991,0.216569746133209,0.266621420795106,0.299347515766346,0.375387559964229,0.436989621086564,0.535167906000285,0.977687850867214
1992,0.17919634215937,0.272732894385414,0.34657754087966,0.422391377947085,0.501159000874281,0.575988242655116,0.782909947092914
1993,0.218678005111847,0.270365533592829,0.33398095326173,0.429404082765081,0.503953402689574,0.587448641005007,0.85974965212384
1994,0.241293599730188,0.268103999700209,0.285977599680223,0.353500088493608,0.462727643927027,0.571955199360445,0.968283365054841
1995,0.213781176421561,0.265755499129556,0.306942698256646,0.382452563322977,0.475614085158061,0.674685547605662,0.926629161275011
1996,0.225454577784235,0.306046938168644,0.295845373563023,0.40398195838261,0.48457431876702,0.655960604141461,1.10177011110809
1997,0.193991770412373,0.245657920321196,0.290500239109985,0.323644561693004,0.43087619357924,0.562478650894166,0.990214196194215
1998,0.16253772007777,0.24942895408161,0.272940699753237,0.389477178299563,0.513169405528558,0.778954356599126,1.14016171634738
1999,0.196425410650634,0.244285409184799,0.234314576156848,0.305107490655299,0.459655402588539,0.748809560399117,1.09281581648861
2000,0.207663314257161,0.245785082091809,0.261836352759029,0.283906849926457,0.376201656262973,0.577845744019926,0.913516172528209
2001,0.224686479021436,0.263353454480939,0.316651177411606,0.38666975459503,0.467138865686428,0.670924276891917,1.09298569174572
2002,0.247643990014298,0.249593942691576,0.301267688639441,0.366591103328252,0.427039636323868,0.5479367023151,0.824571616301803
2003,NA,0.282069109515339,0.370638829903093,0.478268490119124,0.63324800085294,0.644287966000064,0.859165854512975
2004,0.245496507727832,0.298360062390099,0.400016898020432,0.499323575620944,0.690406424454075,0.788263004546825,0.996526252990068
2005,0.284794341382371,0.31235379379985,0.344613152834244,0.44358118642488,0.556648939866259,0.652957026307748,1.08763507932914
2006,0.258595027316662,0.277027544918979,0.3037966784,0.361443277647592,0.443679894954673,0.552075893262438,0.842896241684678
2007,0.173131781281702,0.302924199136742,0.378811680942764,0.454134981686426,0.519518437895075,0.583065741191682,0.912495880221813
2008,0.230673947114658,0.281878803883684,0.337833067414863,0.417574699421451,0.528787453518652,0.622948728136447,0.938756391946152
2009,0.234334599660038,0.283484176728262,0.340991596852737,0.485783877940286,0.512894368858926,0.643312419866065,1.04608368118634
2010,0.224935240143951,0.29561723550286,0.348417218736093,0.437555706750417,0.496570524805366,0.638717898063738,0.821496570333698
2011,0.156044148435486,0.258519660158123,0.347290841159933,0.477997066053113,0.624582416747345,0.80458052821954,1.05558012249852
2012,0.197528392961125,0.286707156161078,0.345621197540894,0.436618625537391,0.539672731332155,0.691306583251077,1.02618942504781
2013,0.140246788453991,0.254051984794435,0.309197718504432,0.381004991724463,0.480046270701822,0.711618731601617,1.03844171977341
2014,0.168892322784483,0.249442141119832,0.28290933357777,0.357233709933952,0.492212611027724,0.674219719799789,0.944712180993713
2015,0.122026003733148,0.220097686446269,0.294546263104405,0.33586265890478,0.400930373004672,0.521909310074144,0.81687768837548
