Year,1,2,3,4,5,6
1989,3.788447278,15.84174454,28.92781015,31.65922311,4.001522347,1.719928838
1990,9.240740741,9.391534392,11.12610229,11.7329806,12.59188713,1.526631393
1991,16.79766082,14.52619883,11.47333333,8.681637427,8.635321637,4.595438596
1992,22.36900448,21.30885136,6.601509238,6.635232891,7.165287536,5.41478012
1993,4.588713282,20.18386471,7.991174056,2.788669951,2.867898194,2.379310345
1994,9.349383294,8.536982471,10.069107,5.949230005,1.978158636,0.607687959
1995,14.47674363,6.235688855,3.803187404,5.681729102,2.217665131,0.752688172
1996,22.08845366,17.25957501,1.726292883,1.025960061,1.997404602,1.286498304
1997,48.16868388,28.55290228,10.96975311,1.246356228,1.574976446,0.508762012
1998,30.59028909,37.92656822,12.05926766,4.978760393,0.63015873,0.603174603
1999,12.81530055,10.67308921,28.76980106,4.615970004,1.614363778,0.314754098
2000,19.53439153,30.19130763,18.7549921,20.4674397,4.992730021,1.266886553
2001,27.89746543,20.27269273,14.11678473,9.821979922,14.84437498,2.742908956
2002,37.85658086,25.86257532,12.51234172,5.459544593,2.615522573,5.276166229
2003,10.6180471,39.6995769,9.808562196,4.42211379,2.279042902,1.140752711
2004,52.93409541,22.48353681,20.71867409,4.752691329,1.146637931,0.25862069
2005,15.62086297,36.18198963,12.80020194,10.04266445,3.193260999,1.07002442
2006,30.05553372,28.84938652,16.79554999,5.938130769,4.269269147,1.31237341
2007,53.10674647,28.89682418,12.17276646,6.205438493,3.173046034,2.898568826
2008,39.58320344,40.58292482,10.51362687,4.287710525,3.840916539,1.802628923
2009,77.72852975,39.52655904,20.9154849,5.870844804,3.228464926,2.2655641
2010,64.24344368,64.70278295,17.7364074,9.147851332,3.121933378,1.718848405
2011,115.0723786,112.2201838,39.55065573,10.27846877,7.000712901,2.852740849
2012,24.68534757,81.09898906,55.98116874,18.64696562,4.235352695,3.297818042
2013,32.26126278,61.02410016,88.18959726,45.04011649,10.24459755,3.412996138
2014,145.3309706,156.4738083,50.67153836,62.13022462,26.74530128,8.95289266
2015,37.9938185,178.6999103,63.19044897,30.15164048,33.41920737,15.69257364
