Year,1,2,3,4,5,6,7+
1980,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA
2006,0.0995470034503431,0.137770493880518,0.16509869022887,0.204911494199421,0.257738676972296,0.56348661768312,NA
2007,0.103427037368394,0.138890309738105,0.157177467124349,0.163453355291385,0.284356789373726,0.213970751749169,NA
2008,0.118131938613773,0.152884627520876,0.188608876084315,0.222088821841619,0.218892390572277,0.383532889934807,NA
2009,0.124697765724936,0.137108722596616,0.168959590587207,0.448529628554481,0.729178027703339,1.29823902650846,0.267019746569108
2010,0.103388720330613,0.134597961422787,0.166845181751797,0.179670213668472,0.23683891625113,0.380928399349215,0.368915125989442
2011,0.095738518037183,0.154468869438144,0.173084975274967,0.215174890714567,0.214482387871621,0.227069645428685,1.34759815987841
2012,0.0922141618359605,0.129440041839238,0.164658256156897,0.191746907944616,0.211160936224752,0.602092016131643,NA
2013,0.080935648406205,0.124573443929629,0.151436601826641,0.183670413161826,0.243390496881326,0.453033904386877,0.411152659471569
2014,0.0919346003096164,0.125530245419182,0.139335001409658,0.236081061941959,0.251614936449962,0.307341419107227,0.391827578174753
2015,0.0386991707518903,0.105277341088266,0.155098867968092,0.172908284835524,0.218791659326493,0.27256108649713,0.617854518075861
